,body
55,"I am a professional who recently purchased a Sanyo Juno phone to use as an extra special-purpose business phone. After using Boost cards to pay for the phone for two months I switched to the Auto Re-Boost Payment Service, wherein payments are automatically charged to my credit card each month. What a terrible mistake. Boost Mobile has been making monthly charges to my credit card at the same time that it has cut off my phone service, telling me that there is no money in my account. Of course, the latter cannot be true is the former is true. When I call Boost's service number to resolve the problem I learn that there are no human beings to speak to, only an automated list of options, none of which correspond to my problem. When I contact Boost via its online customer service (an e-mail option in which the customer is asked to describe his or her problem) I receive a phone call instructing me to call the service number, which, as I've just noted, provides no human operator and tells me that there is no money in my account. In other words, Boost Mobile tells me that to restore my service I must make another payment, even though that payment has already been made by their Auto Re-Boost plan. In effect, I must pay twice for each month of service and there is nothing I can do about it. Is this a company you would want to do business with? I deeply regret selecting to business with this company."
57,"This phone is awesome. I have one through Boost Mobile with the unlimited plan. Bought it on August 6th and no regrets. People that whine and complain about the screen res or no games. It's a phone people, nothing more, nothing less. I use the walkie-talkie regularly, my wife and I text back and forth daily with no missed or missing messages. This phone receives/makes calls and walkie-talkie's where others have failed. If people want games buy a Gameboy, want pictures buy a camera, not real hard to figure out. This little gem was built to be a phone and that's exactly what it is. In short.... See it as it really is, a phone."
59,"I find texting impossible on this phone. As another reviewer said, the screen goes blank randomly and you have to turn it off and on again. Also the phone randomly turns off phone transmissions and you have to turn it back on to receive/make phone calls. There has to be better phones out there."
60,"I recently had an i776 which was ruined at work. I had good service with it and it worked well. I spent $50 on this piece, the service is horrible, very patchy. I don't receive texts, sometimes the screens goes white for no reason. The key pad lights stopped working, the phone has no alarm. The battery doesn't last more than a day. I have only had to phone for two months. Its the worst phone ive owned, do not buy this. The i776 is a good phone,but you have to buy the rugged version."
61,I LOVE THIS PHONE! YES I WOULD LOVE IT TO HAVE MORE FEATURES BUT I LOVE THIS PHONE! THE SOUND QUALITY IS GREAT! I COULD BE DOING LAUNDRY AND BE TALKING IN SPEAKER AND HEAR AND BE HERD PERFECTLY WITHOUT THE ECKO MOST PHONES MAKE TO WHO EVER IS LISTENING TO YOU THE WEB IS NORMAL LIKE ANY OTHER PHONE THE TEXING IS GOOD ASS WELL OVERALL THIS PHONE WON ME OVER WITH ITS SOUND QUALITY IVE HAD SO MANY PHONES VERY LOW ON SOUND THIS PHONE IS PERFECT I HAD THE OTHER PHONE THE $[...]. ONE BUT UPGRADED TO THIS ONE AND LOVE IT'S EVEN BETTER THAN THE OTHER ONE ITS VERY EASY TO TIPE THE BUTTONS ARE NOT HARD AT ALL LOVE THIS PHONE.
62,"This phone is JUNK. Do NOT buy this phone. You will have much faster messaging via regular USPS. Your text messages will be lost in the vast time warp of boost mobilism where they will stay until you decide to try to use the internet on this phone. While waiting the regular 15 minutes for a webpage to load, you will be bumrushed by a million of delayed texts which will obliterate all the efforts this sorry little phone has put forth in trying to load the webpage. The screen will turn white and the entire phone will reset on its own. You will then have the responsibility of manually turning your transmitters back on for the phone to work again. If you are arguing with a girlfriend on this phone, she will dump you because she will think you have hung up on her. If you have close family members, they will abandon you and make pacts with other family members not to call or text you because you never text back and hardly ever answer. If you are having an affair with a married woman, this phone will hold all the messages you sent to her until her husband has come home. Then, like magic, this phone will deliver all the long lost messages as soon as he picks up his wife's phone. They should reaname this phone the i666. The Taliban has claimed responsibility for this phone, but common sense makes one wonder if it wasn't created by a more sinister power. Possibly Satan himself."
63,it withstands a lot and is worth the money only thing IT DOESNT HAVE A CAMERA
64,"This was a replacement for the one my mom had that went south on us. Can't really complain about it because the problem with this device is the carrier not the phone. Probably should give it five stars because the seller gave a spot on description, gave a charger, and threw in a case for free but yet again my carrier doesn't seem to like the phone. I did receive this package next day."
65,"The shipping time on the phone was great, The phone also works great and as it is supose to, My sims card had no problems as some stated theirs did, great battery life, nice looking phone. Work in a area that my other phone had no signal this phone does when clear out, Not so good when cloudy, But would buy again from seller. Thank you Mark"
68,"They are showing a cingular phone which is identical to the one that I had ,Instead I got an AT&tT.It is okay but yhe cingular phone has more options."
70,"this phone was the one my husband got when we first opened our cell account many years ago. He is not open to change and I wasn't sure i could get this phone again. I am very glad I was able to get it for him, and it is working quite well. Thank you."
73,"It's a nice phone only if it worked properly. I can answer the phone but can't hear the person on the line I have to put the phone on speaker in order to hear, this causes people to hang up because the phone's a piece of junk. this started happen two days after I got the phone.....a bad choice."
76,"Short: This phone works fine as a basic phone, if that is all you are looking for. Long: My old phone's LCD croaked on me, and I wanted to wait a bit before buying an HTC Dream, so I went with this cheap phone. Complaints: Menu/key response is sometimes slow. No way to get data to phone via USB cable, at least if you live in the US. It seems like a USB cable exists (in Europe, Asia and Australia) but it costs about as much as the phone itself does after exchange rates. If you go to [...], they talk about cable CA-126, which works with the 1680. It has a regular usb connector on one end, and a Nokia microusb & 2.5mm charger plug on the other. The US Nokia manual says the Microusb port is for ""authorized personal only"", which to my mind says that the carriers in the US wanted to force people into getting things onto the phone via some $$$-chargeable method. In any event, I'll be getting a new phone in a few months so I'll live with this phone for now. But the limitations it has makes it so that it is only suitable for those who are not looking for anything other than making/receiving phone calls (like my parents)."
78,"I needed a replacement phone, and did not want to sign up for a new contract, so I bought a Nokia 1680c at the full retail price. This phone is a good value. It rings loud & clear, and the speakerphone is easy to hear. People I'm calling say my voice is clear, though they can tell I'm on a cell phone. It has a lot of neat software features; for example, you can configure a shortcut action for the left and right softkeys, as well the Up-Down-Left-Right buttons. There is no dedicated rocker switch on the side for volume up & down; during a call, the volume is adjusted by the Left and Right buttons. The phone is constructed well, but feels too light. Battery life is very good. The screen is bright and clear. Navigating menus can be a little sluggish. The keypad is stiff, making text messaging a chore. No Bluetooth connectivity, so forget about using one of those fancy headsets. The box does include a wired earbud/microphone with integrated call answer/end button. Something that annoyed me was how it saved numbers to the address book from an incoming call; the Nokia software puts a ""+"" symbol in front of incoming call numbers. That gets saved to the address book -- for example ""+15551212121"" -- a minor thing, and something probably more useful for European phone numbers, for example. Overall, I like this phone, and will probably keep it until I someday feel the need to get a smartphone-type slab of electronics."
79,"This is probably the wrost experience i had with Amazon and it costed me $72.00. Both my phones from amazon arrived inright time but without activation. I called AT&T and they could not locate our phone numbers so had to call back amazon and learned that they have not activated our phones. Amazon customer service took good amount of time to do this meanwhile i missed by billing cycle with old cell phone company. This process took about a week, and not to mention the SIM card delivered was not working and amazon had to ship again."
80,"By simple I mean that in a good way, having come from an Envy 2 I am glad to be able to open the phone and dial and not have to deal with clicking OK twice to unlock the ""locked"" screen. Quotes intentional, the screen was only locked when I needed to urgently make a call but had a lot of phantom dialing while in my pocket. So back to the Alias 2 the phone is easy to figure out but does not work in all the ways it is said to work. Specifically I can not get this phone to pair with my blue tooth in my new car. I tried, the car dealer tried and while NO issues are reported with this phone and its blue tooth capabilities I beg to differ! I read another review of a person who had exact same trouble with a different model car and was also told the phone is fine. It is obviously something unique to this model only because other samsung phones pair without problems. I got my phone exchanged and after going through that it still will not pair with my car. I wanted this phone because it is simpler than the previous envy 2 I owned but even that phone will pair with my car. I plan to switch to a smart phone as soon as the Nexus One comes to verizon. Considering the very large increase in the monthly charges they will thus receive and extending my contract I sincerely hope they work as hard to keep the customer happy as they say they do. This customer is not terribly happy right now! I will say that the network is the strongest for my area so I hope to stick with verizon but can and will change if they wont try and keep me satisfied."
81,"Just recently got this phone as a replacement to my i760 and am happy to be back to a flip phone. Great Camera, have not tested video yet. Battery life is solid. I'll give samsung credit for the rotating/changable keyboard, a cool thing for the next model might be a customizable keyboard where you have the ability to assign values to each key. As far as ease of use for the keyboard...I havent had any problems and I have large hands/fingers. It takes a little getting used to but once acclimated you should have no problems. I cant comment on voice recognition or blue tooth as I dont really use those features and honestly find them useless (once in a while I'll use my ear piece in the car but its rare). I also dont plan on using it as an MP3 player...I have an ipod for that. If your looking for a phone to synch with outlook then find one where that is offered in the specs. Yes you can remotely sync and get access to web email but nowhere in the description is outlook mentioned so I cant hold that against the phone. It would be like faulting my car cause it doesnt fly (I know thats an exageration but its kinda the same thing) when its clearly not meant for that. If you need a phone that syncs with outlook then get a pda phone. This is basically your standard flip with a few extra features and probly wont be as popular with the mickey mouse club kids that want an iPhone like device that they can watch movies on and giggle over the txts their friends just sent. Interface is about the same as any other VZ flip phone I've had in the past. The ability to use a 16gb micro sd is also a nice feature and is especially handy if you have a card reader on your pc/laptop. All in all its a solid phone that serves the purpose its intended for...a phone thats easy to txt on and make calls on."
82,"Good overall phone, bluetooth so far syncs well with the integrated bluetooth in a Mercedes that I used to have and also with the aftermarket Alpine stereo that I have in my VW. But some of the features and design are just poor and/or not thought out. Looks great but the body is far too slippery. It's like handling a bar of soap. I use it as my primary alarm clock in the morning and it's really clumsy to grab off the nightstand and shut off the alarm. Even when I'm fully awake and alert :-) it's hard to open and I've dropped it a few times while fumbling to open it. There is a wider slit on the clamshell lid to fit your finger into when opening in portrait mode but in landscape mode there's no place to insert your finger to flip it open, so you have to use your fingernail. Unlike my previous phone, it takes two hands almost all the time to open this thing whereas my old phone I could easily flip it open with one hand. I wish the alarm clock's snooze function was like most clock radios where it allows 10 minutes snooze time, not 5. 5 is just too short. Or, the phone should allow you to set the snooze period as a preference. There is no way to display the time on the front screen when the phone is dark; you have to open it up. Well, you can fake it by holding the lock button for the music keys, which will light up the display) but then you have to hold it a second time to reset the lock/unlock back to where you had it. Also, when you're on a call (although just about every cell phone fails on this) the clock doesn't display anywhere (so this is no better than other phones). How many times have you been on a call and said ""Hey let's meet later!"" and the person asks you ""Ok, what time is it now?"" and you can't tell. (I quit wearing watches because of the clocks on cell phones...but why don't they display the time when on a call?) The keys on the outside aren't too bad except the volume up/down is a little too easy to accidentally press. I like the keyboard idea overall but I find it's like typing on little Chiclet gum candies. I need to use my fingernails to avoid fat-fingering it. In QWERTY mode, the END button is too close to the space bar and I have inadvertantly killed my web browser when typing a space in a field on a page. Frustrating! With the END key was farther away. Wish they would have also engineered in some page up/down keys too, as scrolling line by line is cumbersome. I would also like the END and SEND keys to somehow be the traditional red and green colors too. I use Outlook on my netbook to ""sync"" (sort of) my contacts to the phone. This works alright but if you want to refresh your contacts you have to delete them all from the phone and then resend them over or they'll be duplicates. This is a bit annoying only in that you will then need to re-enter the ICE contacts manually. The bluetooth can send pics to my netbook, but only one at a time (cumbersome). Can't select multiple photos at once. Won't send videos at all to my netbook via Bluetooth. Have to send them via a picture message to email and fake it that way but you incur data usage charges doing it that way. Or you can use removable storage on the MicroSD card to do it. The biggest disappointment is the calendar. What a useless piece of junk! It says you can send calendar appointments to the phone, which you can, but it is half-baked. If you set a reminder in Outlook, the reminder doesn't carry over to the phone. The phone only supports one text field for the appointment and it corresponds to the Outlook appointment body (not the header meeting description nor location), so I have to retype the description and location in the Outlook calendar body if I want to see anything useful on the phone. Even then, some appointments come over with an empty text field on the phone (it is either a problem with the text being too long and/or having a carriage return in the text I think). So if I try to then enter it on the phone (enter the description in the displayed (and empty) text field), the phone freezes and then reboots. Terrible! The recurring meeting also is miserably half-baked. You cannot set an interval like ""every other week"". I work a 9/80 work schedule and I want to have every other Friday that I work in my phone so I know when I'm off work or not. I can only choose daily, weekly, monthly, or annually. So while it does take Outlook calendar items, they end up so flawed and useless that if you really do plan on using this phone as an organizer, don't; it will fail to meet your needs. I understand that Samsung uses this same calendar in many of its products and if so, it will be a deal breaker next time around for me and I'll shop a different brand. The add-on Mobile Email from OZ isn't too bad but it also has room for improvement. It is billed as ""fully integrated"" but not in my eyes. While the phone itself has a limited file viewer for certain file types stored on it, if you receive an email with attachments (even if just a .jpg), the OZ mobile email doesn't support accessing attachments. This is not what I call ""fully integrated"". The OZ email client also works a bit inconsistently (although maybe it's an issue with the email providers and not OZ?). With my Cox POP3 accounts, I can only access the inbox (not sent items). With Yahoo and Hotmail, I can access the various folders OK. With my university's email account (hosted by Google GMAIL), it displays both the inbox and the sent items in the inbox (really weird, and I imagine if I had other folders it might lump everything togeter as well). The user interface for the OZ mobile email isn't too bad although it was a bit unintuitive to find how to add a recipient to an email from the phone's contacts. Can be done but just was hard to find. Also isn't clear on how to add multiple recipients (use a comma or semicolon between them? don't know...) Beware of Verizon's compusory data plan with this phone. It is misleading. Supposedly for $9.99 a month you get 25MB of data usage. This often isn't presented clearly. It applies only to the web browser. Texting and picture messaging are not part of this 25MB **even though they use a data connection!**. It should be called a ""web browsing plan"", not a ""data plan"". So unless you pay for an additional texting plan, you will be charged for each message. I was pretty furious when my first bill arrived to find I was charged for the picture messages I sent thinking it was part of my ""data plan"". The mp3 player is alright although once or twice it froze up on me and I had to restart the phone. The headphone jack is a nontypical 2.5mm so you will need an adapter to go to 3.5mm. Booooo. Battery life is so-so. If at work I listen to mp3s during the day and also do a little lunchtime web browsing for about 10-15 minutes, I can easily go from a full battery to dead in about 5-6 hours. I don't know if this is typical or not of most phones, but it'd be nice if the mp3s can make it through one whole workday, but it can't. Sound on the built-in speakers is decent for something so small."
83,"I loved my Samsung Alias, as most Alias owners do. I decided to purchase the Alias 2 on faith, assuming that Samsung had simply updated certain features of the original. I was mistaken. The first thing you will notice is the size; the alias 2 is taller, thicker, and wider than the original. If you are like me, one of the reasons you bought the original alias was it's super-slim design. I would say it's about 50% bulkier than the original. While the original slid into your jeans and disappeared, the new one will stick out like a sore thumb. I suppose the increase in size supports the new and improved camera/camcorder but I never used that feature too much in the first place. Ultimately, I would say this is the reason I returned the alias 2, but I also did not care for the much ballyhooed liquid ink screen. When texting, you must toggle through 3 screens to find all the numbers/symbols/punctuation marks that you need. In fact, the third screen only had a scant number of symbols on it, so the empty space is frustrating when toggling to the first screen for the letters. The empty space is a theme on all screens in fact, in either orientation. As I said, I found this annoying (maybe only because I became so used to the 1000 figures/symbols crammed onto the original alias phone pad). I ended up returning the alias 2 and going back to the original. I will keep my new every 2 discount until Verizon comes out with a very good Android or Apple finally relents with the iphone/At&T exclusivity."
85,"The messaging features are nice. Typing text messages is not so much of a hassle with the keyboard. Also, the screen is quite pretty. I have found the morphing keyboard to be a great feature. When receiving calls, the phone works over half the time, but it sometimes resets when I attempt to answer calls. Also, at other times it lights up when a call is coming in, but won't actually finish the process and start ringing, so I don't know who actually called until they tell me later. I'm beginning to kick myself for signing a contract for service with this phone, and I suspect that it is going to be a pain in the butt until the contract is up."
86,"I have been using this phone for a few days now and I like it. I am not a big ""gadget phone"" fan, preferring a simpler device that does just what I want. The voice quality is acceptable and after a short learning cycle is easy to use. The Alias 2 allows me, a novice texter, to send and receive text messages with no real hassles. The keypad is a great size, even for my larger fingers. I would have given 5 stars, except for the learning curve required to figure the phone out. Not that this is bad, but it is definitely different than the older phones I was used to."
87,"I've had this phone for a couple of months. It's pretty cool in the way the screen and keypad can be used in either portrait or landscape. However, the keys don't have good tactile feedback. I have to type with my fingernail in order to press the keys hard enough and accurately. Its voice recognition software is worthless, so if you are accustomed to using this feature to dial (such as in the car using an earpiece), don't bother. The camera and camcorder work very well and the quality of the pictures and display are really good. The battery in this phone doesn't last near as long as my old LG, however this phone has many more features, so I think the battery life is acceptable. It's got a sleek design and it's fun to use, however, I don't think I'd buy another one because of the usability issues."
88,"My Alias 2 keeps shutting off, even with a full charge. I thought it might be a problem with my battery until my husband's phone started doing the same thing...several times a day! Since then, we have heard of two other people having the same problem with the Alias 2. The local Verizon store offered a software update, but with no guarantee that it would correct the problem. They claim that this phone wasn't a big seller, and they have never heard of this problem before. They refuse to look into the problem, saying that's just the nature of electronic devices...no guarantees. Anyone else having this problem?"
89,"Had a Samsung A-310 for 6 years...a die-hard, sturdy phone. Wanted the same, with improved features. Looked for a flip phone (no purse-calling) that was intuitive, and had decent-sized keys to start texting - and this is it. You have SOOOO much room, because the keyboard changes with your need. Easy to use - intuitive for basic functions. If you choose to read the manual, there is a LOT more there. It's wonderful - thanks Samsung!!!"
90,"Overall I like the phone for its call quality. I love the keyboard and find it very easy to type text messages. I haven't used the camera or the Bluetooth features. I can access my email accounts easily. The main problem with the phone is that locks up when I attempt to use the MP3 player. I have an 8GB MicroSD card with all of my music on it. I hook the phone up to my car radio to play it. Everything was fine for the first month, but now the phone locks up or freezes when it's in media mode and the only way to unlock it is to remove and then replace the battery. Very annoying. The phone has also turned off several times when I was attempting to answer a call."
91,"This is a excellent phone great talk time, excellent standby, very user friendly, I may state it takes a little time to get use to but so does it when you change to new anything. The only down fall is the top 3 keys when your texting when you have large fingers, besides that I would recommend this phone to anybody my wife and kids go through phones like water so had many phones but this one is very unique exspecially with the flip screen. The pictures are excellent minus not having a flash i can live with that cause in low light still takes excellent pics. The flashes on all other phones are a joke those are only good for a couple of foot so take how you want but I recommend this phone for anybody men or women is is very unique. Only gripe is for my wife could be in different colors but my gripe is 3 top buttons could be different thanks for reading Jeff."
92,"Don't bother with this piece of junk. It is the worst phone I have ever owned. Turns itself off inexplicably 15 times a day. Shuts down in the middle of a conversation. So embarrassing. If you ""close"" it too fast, it shuts down. Also, the body of the phone is way too ""slippery"" --- I have dropped it out of my hand a dozen times only because it's too darn slippery to hold. Impossible to flip open the phone with one hand, you need both hands to open it. Terrible product. I am thinking about quitting Verizon simply because they offer this POS phone. Don't waste your time or money with this junk."
93,"I got mine for free with the purchase of my wife's blackberry. With the understanding that this is not a full computer, its a great tool tpo give you quick access to the internet. I really don't like working on lap tops, so only own a desktop. This leaves me limited in where I can have access to the internet. This thing gives me access everywhere. I have wireless in the house and I use the broadband everywhere else. Because it is only a netbook it does have its limitations. If you are looking for a full featured machine, this is not for you. But for quick access to the internet and most files, its great."
